DateTime,idx,Date,Day,Hour,Weekday,Week,Month,PT08.S1(CO),PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),CO(GT),C6H6(GT),NOx(GT),NO2(GT),T,RH,AH,ewma
2004-03-10 18:00:00,0,2004-03-10,10,18,3,11,3,1360.0,1046.0,1056.0,1692.0,1268.0,2.6,11.9,166.0,113.0,13.6,48.9,0.7578,1692.0
2004-03-10 19:00:00,1,2004-03-10,10,19,3,11,3,1292.0,955.0,1174.0,1559.0,972.0,2.0,9.4,103.0,92.0,13.3,47.7,0.7255,1592.2499999999998
2004-03-10 20:00:00,2,2004-03-10,10,20,3,11,3,1402.0,939.0,1140.0,1555.0,1074.0,2.2,9.0,131.0,114.0,11.9,54.0,0.7502,1566.4615384615386
2004-03-10 21:00:00,3,2004-03-10,10,21,3,11,3,1376.0,948.0,1092.0,1584.0,1203.0,2.2,9.2,172.0,122.0,11.0,60.0,0.7867,1578.3000000000002
2004-03-10 22:00:00,4,2004-03-10,10,22,3,11,3,1272.0,836.0,1205.0,1490.0,1110.0,1.6,6.5,131.0,116.0,11.2,59.6,0.7888,1519.1900826446283
2004-03-10 23:00:00,5,2004-03-10,10,23,3,11,3,1197.0,750.0,1337.0,1393.0,949.0,1.2,4.7,89.0,96.0,11.2,59.2,0.7848,1434.9478021978023
2004-03-11 00:00:00,6,2004-03-11,11,0,4,11,3,1185.0,690.0,1462.0,1333.0,733.0,1.2,3.6,62.0,77.0,11.3,56.8,0.7603,1366.9515096065875
2004-03-11 01:00:00,7,2004-03-11,11,1,4,11,3,1136.0,672.0,1453.0,1333.0,730.0,1.0,3.3,62.0,76.0,10.7,60.0,0.7702,1344.3137195121953
2004-03-11 02:00:00,8,2004-03-11,11,2,4,11,3,1094.0,609.0,1579.0,1276.0,620.0,0.9,2.3,45.0,60.0,10.7,59.7,0.7648,1298.7689259221625
2004-03-11 03:00:00,9,2004-03-11,11,3,4,11,3,1010.0,561.0,1705.0,1235.0,501.0,0.6,1.7,,,10.3,60.2,0.7517,1256.2555886736213
2004-03-11 04:00:00,10,2004-03-11,11,4,4,11,3,1011.0,527.0,1818.0,1197.0,445.0,,1.3,21.0,34.0,10.1,60.5,0.7465,1216.75163989026
2004-03-11 05:00:00,11,2004-03-11,11,5,4,11,3,1066.0,512.0,1918.0,1182.0,422.0,0.7,1.1,16.0,28.0,11.0,56.2,0.7366,1193.5838363691103
2004-03-11 06:00:00,12,2004-03-11,11,6,4,11,3,1052.0,553.0,1738.0,1221.0,472.0,0.7,1.6,34.0,48.0,10.5,58.1,0.7353,1211.8612902537882
2004-03-11 07:00:00,13,2004-03-11,11,7,4,11,3,1144.0,667.0,1490.0,1339.0,730.0,1.1,3.2,98.0,82.0,10.2,59.6,0.7417,1296.6204478056302
2004-03-11 08:00:00,14,2004-03-11,11,8,4,11,3,1333.0,900.0,1136.0,1517.0,1102.0,2.0,8.0,174.0,112.0,10.8,57.4,0.7408,1443.5401595076307
2004-03-11 09:00:00,15,2004-03-11,11,9,4,11,3,1351.0,960.0,1079.0,1583.0,1028.0,2.2,9.5,129.0,101.0,10.5,60.6,0.7691,1536.5133886623648
