Date,DateTime,idx,Day,Hour,Weekday,Week,Month,PT08.S1(CO),PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),CO(GT),C6H6(GT),NOx(GT),NO2(GT),T,RH,AH,ewma
2004-03-10,2004-03-10 23:00:00,5,10,23,3,11,3,1402.0,1046.0,1337.0,1692.0,1268.0,2.6,11.9,172.0,122.0,13.6,60.0,0.7888,1692.0
2004-03-11,2004-03-11 23:00:00,29,11,23,4,11,3,1776.0,1488.0,1918.0,2333.0,1704.0,6.9,27.4,383.0,172.0,11.3,81.1,0.8778,2205.187327700794
2004-03-12,2004-03-12 23:00:00,53,12,23,5,11,3,1843.0,1610.0,1895.0,2390.0,1887.0,6.6,32.6,340.0,170.0,16.9,65.9,0.7771,2205.668103575666
2004-03-13,2004-03-13 23:00:00,77,13,23,6,11,3,1621.0,1286.0,1420.0,1922.0,1886.0,4.2,19.6,296.0,165.0,19.4,71.9,0.8193,1894.2121148345532
2004-03-14,2004-03-14 23:00:00,101,14,23,7,11,3,1898.0,1381.0,1395.0,2103.0,1905.0,5.9,23.1,325.0,173.0,22.2,67.6,0.9341,2029.626479203988
2004-03-15,2004-03-15 23:00:00,125,15,23,1,12,3,2040.0,1754.0,1156.0,2679.0,2184.0,8.1,39.2,478.0,187.0,24.4,70.5,1.0945,2527.856810744779
2004-03-16,2004-03-16 23:00:00,149,16,23,2,12,3,1800.0,1431.0,1412.0,2211.0,2034.0,5.3,25.1,396.0,177.0,28.2,68.5,1.0494,2124.0753371568167
2004-03-17,2004-03-17 23:00:00,173,17,23,3,12,3,1975.0,1737.0,1460.0,2535.0,2359.0,7.6,38.4,411.0,194.0,29.3,65.2,0.9294,2351.8576164769447
2004-03-18,2004-03-18 23:00:00,197,18,23,4,12,3,1934.0,1682.0,1293.0,2468.0,2051.0,6.6,35.8,421.0,176.0,27.1,64.2,0.9606,2274.7904495247303
2004-03-19,2004-03-19 23:00:00,221,19,23,5,12,3,1819.0,1582.0,1620.0,2456.0,1716.0,6.2,31.3,357.0,166.0,16.4,71.1,1.0029,2276.195503665646
2004-03-20,2004-03-20 23:00:00,245,20,23,6,12,3,1633.0,1199.0,1317.0,1919.0,1442.0,3.9,16.6,229.0,139.0,19.5,59.0,1.0356,1874.5093435604115
2004-03-21,2004-03-21 23:00:00,269,21,23,7,12,3,1605.0,1153.0,1300.0,1874.0,1637.0,4.3,15.1,266.0,144.0,21.4,66.2,1.0868,1811.7933059851143
2004-03-22,2004-03-22 23:00:00,293,22,23,1,13,3,1514.0,1325.0,1813.0,1996.0,1401.0,4.5,21.0,238.0,146.0,21.3,60.5,1.0919,1954.8763190750851
2004-03-23,2004-03-23 23:00:00,317,23,23,2,13,3,1498.0,1325.0,1908.0,2095.0,1329.0,3.8,21.0,244.0,132.0,16.0,80.5,0.9483,1955.9599459308554
2004-03-24,2004-03-24 23:00:00,341,24,23,3,13,3,1597.0,1395.0,1572.0,2080.0,1519.0,4.5,23.7,247.0,136.0,16.9,81.1,0.972,1916.3336308370224
2004-03-25,2004-03-25 23:00:00,365,25,23,4,13,3,1443.0,1418.0,1935.0,2060.0,1488.0,5.2,24.6,253.0,141.0,17.7,83.2,0.8695,1965.197378923977
2004-03-26,2004-03-26 23:00:00,389,26,23,5,13,3,1408.0,1278.0,1449.0,1928.0,1481.0,3.8,19.3,275.0,121.0,19.2,72.4,0.7711,1847.714461371616
2004-03-27,2004-03-27 23:00:00,413,27,23,6,13,3,1306.0,1079.0,1417.0,1633.0,1286.0,3.0,12.9,196.0,133.0,19.1,66.6,0.7326,1622.114871018823
2004-03-28,2004-03-28 23:00:00,437,28,23,7,13,3,1293.0,958.0,1325.0,1514.0,1200.0,2.3,9.5,133.0,103.0,21.3,68.0,0.7294,1503.4647906014636
2004-03-29,2004-03-29 23:00:00,461,29,23,1,14,3,1326.0,1289.0,1643.0,1806.0,1431.0,4.1,19.7,259.0,134.0,18.2,56.8,0.6341,1713.267500797742
2004-03-30,2004-03-30 23:00:00,485,30,23,2,14,3,1584.0,1399.0,1468.0,1947.0,1689.0,4.7,23.8,320.0,159.0,22.4,46.1,0.7833,1857.9592852743187
2004-03-31,2004-03-31 23:00:00,509,31,23,3,14,3,1636.0,1295.0,1699.0,1957.0,1489.0,4.1,19.9,230.0,125.0,15.7,78.1,1.0746,1868.7415021366996
2004-04-01,2004-04-01 23:00:00,533,1,23,4,14,4,1722.0,1595.0,1237.0,2439.0,1798.0,6.2,31.9,378.0,164.0,23.6,73.1,0.8892,2224.5499211447145
2004-04-02,2004-04-02 23:00:00,557,2,23,5,14,4,1693.0,1439.0,1197.0,2083.0,1723.0,5.5,25.4,271.0,168.0,27.6,73.7,1.0254,2051.473338608954
2004-04-03,2004-04-03 23:00:00,581,3,23,6,14,4,1697.0,1471.0,1145.0,2153.0,1548.0,3.1,26.7,211.0,106.0,25.8,61.7,1.0912,2024.5813699701184
2004-04-04,2004-04-04 23:00:00,605,4,23,7,14,4,1420.0,1085.0,1171.0,1756.0,1057.0,,13.0,,,26.1,69.1,1.085,1715.795559811049
2004-04-05,2004-04-05 23:00:00,629,5,23,1,15,4,1631.0,1449.0,1536.0,2299.0,1615.0,4.1,25.8,236.0,132.0,22.2,65.3,1.0717,2096.650689851153
2004-04-06,2004-04-06 23:00:00,653,6,23,2,15,4,1757.0,1636.0,1357.0,2560.0,1806.0,6.2,33.7,329.0,134.0,20.9,61.6,1.0408,2368.919052920537
2004-04-07,2004-04-07 23:00:00,677,7,23,3,15,4,1307.0,1171.0,1826.0,1821.0,1033.0,3.3,15.7,185.0,129.0,18.1,76.4,0.9953,1754.7667654020652
2004-04-08,2004-04-08 23:00:00,701,8,23,4,15,4,1618.0,1530.0,1366.0,2189.0,1791.0,6.3,29.1,326.0,171.0,21.5,80.6,0.8825,2071.20318455395
2004-04-09,2004-04-09 23:00:00,725,9,23,5,15,4,1176.0,917.0,866.0,1560.0,1151.0,4.3,8.4,294.0,139.0,12.0,67.9,0.9523,1559.999999999817
2004-04-10,2004-04-10 23:00:00,749,10,23,6,15,4,1247.0,1037.0,1163.0,1663.0,1219.0,2.9,11.6,187.0,133.0,22.1,73.4,0.9503,1626.0593415526348
2004-04-11,2004-04-11 23:00:00,773,11,23,7,15,4,1153.0,945.0,1452.0,1425.0,913.0,2.6,9.2,161.0,118.0,22.7,71.0,0.7531,1415.4374667950046
2004-04-12,2004-04-12 23:00:00,797,12,23,1,16,4,1115.0,776.0,1923.0,1384.0,697.0,1.8,5.2,127.0,93.0,14.6,70.5,0.9173,1357.8442317245788
2004-04-13,2004-04-13 23:00:00,821,13,23,2,16,4,1496.0,1354.0,1581.0,2057.0,1579.0,5.0,22.1,328.0,144.0,16.6,68.7,0.851,1979.708283926275
2004-04-14,2004-04-14 23:00:00,845,14,23,3,16,4,1529.0,1497.0,1349.0,2278.0,1641.0,5.0,27.7,275.0,119.0,21.4,65.8,0.8453,2108.3410029601496
2004-04-15,2004-04-15 23:00:00,869,15,23,4,16,4,1875.0,1637.0,1416.0,2446.0,2086.0,7.3,33.7,351.0,158.0,21.5,67.4,1.013,2350.182502332579
2004-04-16,2004-04-16 23:00:00,893,16,23,5,16,4,1689.0,1474.0,1159.0,2298.0,1600.0,6.4,26.8,352.0,149.0,19.2,81.0,1.2654,2227.873817871587
2004-04-17,2004-04-17 23:00:00,917,17,23,6,16,4,1297.0,1003.0,1158.0,1706.0,1177.0,2.6,10.7,169.0,100.0,19.7,82.4,1.2348,1679.022209418029
2004-04-18,2004-04-18 23:00:00,941,18,23,7,16,4,1342.0,1102.0,1309.0,1824.0,1156.0,,13.5,,,17.5,77.2,1.2695,1753.2041487212218
2004-04-19,2004-04-19 23:00:00,965,19,23,1,17,4,1399.0,1260.0,1275.0,1976.0,1308.0,,18.7,,,19.5,80.5,1.1716,1927.4433368923042
2004-04-20,2004-04-20 23:00:00,989,20,23,2,17,4,1565.0,1549.0,1587.0,2396.0,1645.0,,29.9,,,25.9,80.2,1.0679,2228.4291549191194
2004-04-21,2004-04-21 23:00:00,1013,21,23,3,17,4,1726.0,1776.0,1301.0,2684.0,1940.0,,40.3,,,27.3,71.8,0.9855,2459.2074433625016
2004-04-22,2004-04-22 23:00:00,1037,22,23,4,17,4,1538.0,1664.0,1295.0,2238.0,1775.0,,35.0,,,31.3,64.1,0.9828,2158.145969924525
2004-04-23,2004-04-23 23:00:00,1061,23,23,5,17,4,1747.0,1608.0,1213.0,2417.0,1983.0,5.6,32.5,358.0,196.0,30.0,58.0,1.0333,2258.220168755141
2004-04-24,2004-04-24 23:00:00,1085,24,23,6,17,4,1567.0,1280.0,1157.0,1970.0,1502.0,3.5,19.4,188.0,134.0,27.5,79.7,1.2953,1918.537847893584
2004-04-25,2004-04-25 23:00:00,1109,25,23,7,17,4,1169.0,1083.0,1783.0,1654.0,955.0,2.8,13.0,133.0,101.0,20.2,66.8,0.9455,1553.2124081749434
2004-04-26,2004-04-26 23:00:00,1133,26,23,1,18,4,1181.0,1114.0,1826.0,1685.0,1032.0,3.2,13.9,147.0,119.0,20.7,45.5,0.7602,1640.404473255303
2004-04-27,2004-04-27 23:00:00,1157,27,23,2,18,4,1518.0,1398.0,1424.0,2101.0,1703.0,4.6,23.8,314.0,137.0,28.2,53.1,0.884,2000.3573843787146
2004-04-28,2004-04-28 23:00:00,1181,28,23,3,18,4,1724.0,1560.0,1209.0,2396.0,2108.0,5.5,30.4,322.0,162.0,28.4,60.7,1.1746,2201.7320198740413
2004-04-29,2004-04-29 23:00:00,1205,29,23,4,18,4,1771.0,1690.0,1168.0,2572.0,2006.0,7.2,36.2,368.0,146.0,25.6,70.7,1.3554,2422.573202376193
